% Created by Marsyas
@relation ./centroidextract.txt
@attribute Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute output {no_label}


@data
% filename D.wav
% srate 86.1328
0.032871,0.000000,no_label
0.032825,0.000200,no_label
0.032657,0.000752,no_label
0.032524,0.000917,no_label
0.032356,0.001125,no_label
0.032182,0.001288,no_label
0.032017,0.001395,no_label
0.031793,0.001588,no_label
0.031614,0.001656,no_label
0.031452,0.001683,no_label
0.031276,0.001710,no_label
0.031084,0.001735,no_label
0.030962,0.001691,no_label
0.030874,0.001634,no_label
0.030738,0.001574,no_label
0.030617,0.001497,no_label
0.030514,0.001406,no_label
0.030392,0.001298,no_label
0.030310,0.001186,no_label
0.030236,0.001064,no_label
0.030097,0.000875,no_label
0.029920,0.000839,no_label
0.029816,0.000999,no_label
0.029659,0.001157,no_label
0.029605,0.001188,no_label
0.029593,0.001191,no_label
0.029565,0.001198,no_label
0.029642,0.001169,no_label
0.029656,0.001166,no_label
0.029736,0.001215,no_label
0.029859,0.001291,no_label
0.030093,0.001524,no_label
0.030309,0.001832,no_label
0.030508,0.002105,no_label
0.030574,0.002113,no_label
0.030558,0.002115,no_label
0.030599,0.002127,no_label
0.030661,0.002140,no_label
0.030671,0.002143,no_label
0.030680,0.002147,no_label
0.030759,0.002152,no_label
0.030943,0.002101,no_label
0.031122,0.001939,no_label
0.031315,0.001705,no_label
0.031426,0.001581,no_label
0.031573,0.001497,no_label
0.031626,0.001422,no_label
0.031631,0.001416,no_label
0.031721,0.001339,no_label
0.031739,0.001334,no_label
0.031717,0.001337,no_label
0.031571,0.001268,no_label
0.031356,0.001057,no_label
0.031123,0.000636,no_label
0.031200,0.000755,no_label
0.031499,0.001273,no_label
0.031780,0.001786,no_label
0.032431,0.003336,no_label
0.033468,0.005430,no_label
0.034640,0.007150,no_label
0.035815,0.008389,no_label
0.037018,0.009431,no_label
0.038238,0.010124,no_label
0.039437,0.010599,no_label
0.040604,0.010849,no_label
0.041651,0.010985,no_label
0.042808,0.010924,no_label
0.043746,0.010586,no_label
0.044469,0.010204,no_label
0.045122,0.009768,no_label
0.045812,0.009245,no_label
0.046506,0.008589,no_label
0.047299,0.007762,no_label
0.048093,0.006743,no_label
0.048766,0.005811,no_label
0.049248,0.005096,no_label
0.049659,0.004395,no_label
0.049655,0.004399,no_label
0.049298,0.004469,no_label
0.048832,0.004335,no_label
0.048264,0.004209,no_label
0.047516,0.004065,no_label
0.046896,0.003751,no_label
0.046350,0.003311,no_label
0.045761,0.002925,no_label
0.045339,0.002411,no_label
0.044794,0.001693,no_label
0.044492,0.001481,no_label
0.044260,0.001610,no_label
0.043923,0.002115,no_label
0.043478,0.002672,no_label
0.042958,0.003321,no_label
0.042310,0.003830,no_label
0.041657,0.004187,no_label
0.041054,0.004316,no_label
0.040541,0.004338,no_label
0.040020,0.004342,no_label
0.039670,0.004236,no_label
0.039303,0.004071,no_label
0.038849,0.003836,no_label
0.038558,0.003665,no_label
0.038600,0.003700,no_label
0.038389,0.003561,no_label
0.038433,0.003635,no_label
0.038752,0.004189,no_label
0.038970,0.004583,no_label
0.039434,0.005310,no_label
0.039860,0.005869,no_label
0.040332,0.006320,no_label
0.040880,0.006560,no_label
0.041477,0.006653,no_label
0.042153,0.006574,no_label
0.042674,0.006261,no_label
0.043076,0.005892,no_label
0.043411,0.005571,no_label
0.043577,0.005379,no_label
0.043716,0.005189,no_label
0.043676,0.005238,no_label
0.043739,0.005173,no_label
0.043768,0.005134,no_label
0.043832,0.005069,no_label
0.043648,0.005195,no_label
0.043552,0.005301,no_label
0.043148,0.005489,no_label
0.042531,0.005538,no_label
0.041845,0.005549,no_label
0.040886,0.005438,no_label
0.039975,0.005143,no_label
0.071702,0.140812,no_label
0.103450,0.193730,no_label
0.134918,0.229930,no_label
0.165658,0.255862,no_label
0.196552,0.275806,no_label
