% Created by Marsyas
@relation ./mfcc1.txt
@attribute Mean_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute output {no_label}


@data
% filename D.wav
% srate 86.1328
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.049416,0.005088,no_label
0.049222,0.005114,no_label
0.048054,0.006990,no_label
0.046887,0.008298,no_label
0.045720,0.009280,no_label
0.044553,0.010032,no_label
0.043385,0.010604,no_label
0.042218,0.011024,no_label
0.041051,0.011309,no_label
0.039883,0.011469,no_label
0.039689,0.011318,no_label
0.039689,0.011318,no_label
0.039494,0.011161,no_label
0.039300,0.010999,no_label
0.039300,0.010999,no_label
0.039105,0.010830,no_label
0.039105,0.010830,no_label
0.039105,0.010830,no_label
0.038911,0.010656,no_label
0.037743,0.010592,no_label
0.037549,0.010816,no_label
0.036381,0.011024,no_label
0.036381,0.011024,no_label
0.036381,0.011024,no_label
0.036381,0.011024,no_label
0.036381,0.011024,no_label
0.036381,0.011024,no_label
0.037354,0.011033,no_label
0.038521,0.011135,no_label
0.039689,0.011115,no_label
0.039883,0.011269,no_label
0.039883,0.011269,no_label
0.040078,0.011417,no_label
0.040078,0.011417,no_label
0.040078,0.011417,no_label
0.040272,0.011561,no_label
0.040272,0.011561,no_label
0.040272,0.011561,no_label
0.040467,0.011699,no_label
0.041634,0.011484,no_label
0.042996,0.010830,no_label
0.044163,0.009865,no_label
0.045136,0.009075,no_label
0.046304,0.008153,no_label
0.046304,0.008153,no_label
0.046304,0.008153,no_label
0.047276,0.006881,no_label
0.047276,0.006881,no_label
0.046109,0.008094,no_label
0.044942,0.008998,no_label
0.043774,0.009679,no_label
0.043580,0.009579,no_label
0.043580,0.009579,no_label
0.043774,0.009679,no_label
0.043774,0.009679,no_label
0.043774,0.009679,no_label
0.043774,0.009679,no_label
0.043969,0.009851,no_label
0.044163,0.010017,no_label
0.044358,0.010176,no_label
0.044553,0.010330,no_label
0.044942,0.010547,no_label
0.045331,0.010746,no_label
0.045525,0.010874,no_label
0.046887,0.010182,no_label
0.048054,0.009148,no_label
0.048249,0.009158,no_label
0.048444,0.009165,no_label
0.049611,0.007770,no_label
0.050778,0.005833,no_label
0.051946,0.002227,no_label
0.052140,0.001906,no_label
0.052140,0.001906,no_label
0.052140,0.001906,no_label
0.052140,0.001906,no_label
0.052140,0.001906,no_label
0.052140,0.001906,no_label
0.051946,0.001856,no_label
0.051751,0.001783,no_label
0.051556,0.001685,no_label
0.051362,0.001556,no_label
0.051167,0.001389,no_label
0.050973,0.001167,no_label
0.050778,0.000848,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.050584,0.000000,no_label
0.095331,0.195048,no_label
0.140272,0.269067,no_label
0.184825,0.319560,no_label
0.228599,0.356053,no_label
0.271595,0.382871,no_label
