% Created by Marsyas
@relation ./mfccD.arff
@attribute Mean_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC3_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC4_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Chroma_A#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Chroma_C_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Chroma_G#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute output {no_label}


@data
% filename D.wav
% srate 86.1328
0.037109,0.032871,0.050584,0.366959,-42.757363,6.702608,-1.721541,1.213290,-1.271054,0.404550,-0.682553,-2.799666,-2.864094,-0.165807,0.678243,2.583590,1.919637,0.000897,0.002316,0.004562,0.006646,0.010581,0.017723,0.015153,0.006695,0.002428,0.000922,0.000270,0.000309,3.104666,65.730840,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no_label
0.036719,0.032825,0.050584,0.351352,-42.803009,6.621495,-1.704493,1.161591,-1.315743,0.350059,-0.701202,-2.787306,-2.863018,-0.184846,0.715789,2.613599,1.946604,0.000885,0.002284,0.004499,0.006586,0.010578,0.017721,0.015161,0.006728,0.002460,0.000931,0.000269,0.000303,3.108759,67.186484,0.001703,0.000200,0.000000,0.068029,0.198966,0.353562,0.074310,0.225352,0.194797,0.237522,0.081288,0.053875,0.004689,0.082989,0.163656,0.130807,0.117546,0.000054,0.000139,0.000273,0.000262,0.000010,0.000010,0.000034,0.000143,0.000139,0.000041,0.000004,0.000027,0.017842,6.345007,no_label
0.036328,0.032657,0.049416,0.338253,-42.864820,6.592117,-1.670995,1.125450,-1.315798,0.308949,-0.734319,-2.776687,-2.858708,-0.226046,0.723331,2.652036,1.977711,0.000890,0.002288,0.004501,0.006609,0.010666,0.017797,0.015245,0.006808,0.002510,0.000946,0.000272,0.000305,3.103277,66.828361,0.002344,0.000752,0.005088,0.086481,0.326398,0.369646,0.160315,0.268073,0.194785,0.289908,0.161899,0.069155,0.019122,0.193830,0.165220,0.207060,0.174712,0.000059,0.000140,0.000274,0.000285,0.000381,0.000332,0.000366,0.000372,0.000251,0.000075,0.000014,0.000028,0.030567,6.613510,no_label
0.035937,0.032524,0.049222,0.323715,-43.013226,6.521129,-1.690145,1.122762,-1.283564,0.241779,-0.814751,-2.796340,-2.931106,-0.297618,0.761199,2.689729,2.053815,0.000892,0.002277,0.004474,0.006598,0.010728,0.017866,0.015326,0.006887,0.002558,0.000957,0.000270,0.000302,3.101955,67.528368,0.002790,0.000917,0.005114,0.103248,0.702212,0.465508,0.186023,0.267448,0.246105,0.396142,0.375233,0.114124,0.317386,0.355352,0.226118,0.254379,0.362946,0.000060,0.000145,0.000292,0.000287,0.000456,0.000436,0.000493,0.000487,0.000314,0.000085,0.000015,0.000029,0.031046,7.177197,no_label
0.035547,0.032356,0.048054,0.308383,-43.167359,6.538169,-1.712522,1.073191,-1.271108,0.183873,-0.867387,-2.814691,-2.931050,-0.362584,0.765229,2.725975,2.086732,0.000892,0.002273,0.004464,0.006606,0.010805,0.017924,0.015391,0.006947,0.002587,0.000958,0.000266,0.000297,3.099779,69.363640,0.003125,0.001125,0.006990,0.117476,0.930383,0.477911,0.213363,0.330518,0.252640,0.449207,0.423703,0.139802,0.317398,0.435133,0.225321,0.286315,0.378791,0.000060,0.000145,0.000293,0.000291,0.000545,0.000488,0.000548,0.000533,0.000328,0.000085,0.000024,0.000035,0.032280,10.436019,no_label
0.035059,0.032182,0.046887,0.292839,-43.306751,6.526265,-1.674528,1.033826,-1.278609,0.155165,-0.905057,-2.849997,-2.939609,-0.418249,0.805858,2.729374,2.087867,0.000879,0.002256,0.004435,0.006583,0.010810,0.017868,0.015353,0.006958,0.002600,0.000957,0.000262,0.000290,3.097091,71.230878,0.003573,0.001288,0.008298,0.128726,1.058529,0.476630,0.268824,0.357289,0.254746,0.452521,0.438816,0.205346,0.317785,0.475715,0.273979,0.285005,0.378323,0.000082,0.000158,0.000309,0.000306,0.000544,0.000565,0.000588,0.000529,0.000327,0.000086,0.000029,0.000045,0.033957,12.711759,no_label
0.034668,0.032017,0.045720,0.278242,-43.530893,6.454314,-1.650092,0.959572,-1.310272,0.119464,-0.968470,-2.916118,-2.958193,-0.518319,0.869723,2.781217,2.135295,0.000858,0.002209,0.004346,0.006482,0.010734,0.017718,0.015244,0.006951,0.002620,0.000960,0.000259,0.000281,3.097613,73.381888,0.003751,0.001395,0.009280,0.135849,1.352315,0.547870,0.285155,0.453608,0.288903,0.459549,0.490656,0.344353,0.323639,0.605020,0.369135,0.342311,0.412202,0.000120,0.000249,0.000475,0.000524,0.000664,0.000889,0.000782,0.000534,0.000328,0.000086,0.000031,0.000056,0.034149,15.027894,no_label
0.034277,0.031793,0.044553,0.263374,-43.664387,6.426954,-1.591957,0.924237,-1.328612,0.049645,-1.036628,-2.908840,-2.942237,-0.573070,0.914580,2.804352,2.131580,0.000849,0.002200,0.004331,0.006475,0.010759,0.017696,0.015250,0.006993,0.002646,0.000963,0.000257,0.000275,3.092353,74.624157,0.003881,0.001588,0.010032,0.141481,1.400294,0.548450,0.370431,0.459949,0.297350,0.513806,0.538547,0.348253,0.335533,0.620003,0.396627,0.343805,0.414458,0.000123,0.000248,0.000473,0.000523,0.000667,0.000894,0.000781,0.000546,0.000332,0.000085,0.000031,0.000059,0.040218,15.367163,no_label
0.033789,0.031614,0.043385,0.250351,-43.765120,6.416071,-1.561441,0.841319,-1.326203,0.006012,-1.088051,-2.894596,-2.928743,-0.615625,0.925404,2.831361,2.151891,0.000842,0.002188,0.004309,0.006470,0.010823,0.017757,0.015329,0.007079,0.002702,0.000978,0.000256,0.000270,3.089285,76.175968,0.004102,0.001656,0.010604,0.143322,1.403883,0.545021,0.383411,0.542448,0.298001,0.518843,0.551236,0.358113,0.343731,0.619798,0.392966,0.346608,0.413526,0.000124,0.000248,0.000471,0.000522,0.000707,0.000935,0.000846,0.000624,0.000381,0.000101,0.000031,0.000061,0.041483,15.946862,no_label
0.033398,0.031452,0.042218,0.233420,-43.877848,6.378563,-1.559382,0.788881,-1.354377,-0.032676,-1.150050,-2.905774,-2.923171,-0.680643,0.960280,2.840860,2.175158,0.000829,0.002164,0.004266,0.006440,0.010867,0.017799,0.015387,0.007144,0.002743,0.000985,0.000253,0.000261,3.090460,79.616165,0.004139,0.001683,0.011024,0.148456,1.408945,0.549803,0.382656,0.554513,0.317457,0.516526,0.571500,0.358464,0.345631,0.637163,0.400366,0.342264,0.412894,0.000131,0.000258,0.000486,0.000528,0.000718,0.000951,0.000871,0.000647,0.000393,0.000102,0.000033,0.000067,0.042228,20.181676,no_label
0.033008,0.031276,0.041051,0.221108,-44.104839,6.415768,-1.603099,0.707087,-1.380006,-0.124823,-1.252102,-2.903541,-2.950996,-0.765035,0.988855,2.859612,2.186161,0.000823,0.002157,0.004252,0.006440,0.010917,0.017819,0.015420,0.007190,0.002768,0.000985,0.000248,0.000254,3.088005,82.122896,0.004139,0.001710,0.011309,0.147075,1.566979,0.593881,0.443752,0.604295,0.330134,0.589535,0.655037,0.359257,0.361779,0.674091,0.399610,0.337901,0.408851,0.000130,0.000255,0.000481,0.000528,0.000731,0.000953,0.000874,0.000646,0.000388,0.000102,0.000038,0.000069,0.042755,21.379355,no_label
0.032617,0.031084,0.039883,0.210799,-44.316657,6.463180,-1.617929,0.652808,-1.363629,-0.183187,-1.336853,-2.894829,-2.966494,-0.858193,1.010366,2.873645,2.202211,0.000814,0.002139,0.004217,0.006414,0.010936,0.017795,0.015420,0.007230,0.002798,0.000987,0.000243,0.000245,3.085363,84.862936,0.004102,0.001735,0.011469,0.143677,1.654404,0.650081,0.452335,0.605143,0.343006,0.592013,0.684840,0.363754,0.364354,0.712491,0.393849,0.331922,0.404349,0.000132,0.000256,0.000482,0.000530,0.000727,0.000961,0.000874,0.000639,0.000384,0.000102,0.000041,0.000072,0.043274,22.580868,no_label
